cell_id,step_ix,simulation_i,sim_time,,
cell418,4848,9,364.0833333,,
cell419,5387,10,294,,
cell420,1971,4,350.0833333,,
cell421,2193,4,794,,
cell422,3906,7,776,,
cell423,469,1,790,,
cell424,3863,7,690,,
cell425,5287,10,94.08333333,,
cell426,1646,3,848,,
cell427,2573,5,406.0833333,,
cell428,1272,3,100.0833333,,
cell429,1253,3,62,,
cell430,1825,4,58,,
cell431,4740,9,148.0833333,,
cell432,2956,6,24.08333333,,
cell433,5382,10,284,,
cell434,1372,3,300,,
cell435,845,2,394.0833333,,
cell436,4220,8,256,,
cell437,3586,7,136.0833333,,
cell438,4876,9,420.0833333,,
cell439,3776,7,516.0833333,,
cell440,3279,6,670,,
cell441,4095,8,6.083333333,,
cell442,4739,9,146.0833333,,
cell443,3596,7,156,,
cell444,3590,7,144.0833333,,
cell445,4753,9,174,,
cell446,4504,8,824,,
cell447,4212,8,240,,
cell448,1504,3,564.0833333,,
cell449,4725,9,118.0833333,,
cell450,1934,4,276,,
cell451,4266,8,348.0833333,,
cell452,4106,8,28.08333333,,
cell453,3203,6,518.0833333,,
cell454,2526,5,312.0833333,,
cell455,2256,4,920,,
cell456,829,2,362.0833333,,
cell457,1531,3,618,,
cell458,4018,7,1000,,
cell459,4314,8,444.0833333,,
cell460,5290,10,100.0833333,,
cell461,2694,5,648,,
cell462,892,2,488.0833333,,
cell463,4840,9,348.0833333,,
cell464,4148,8,112.0833333,,
cell465,4170,8,156,,
cell466,3146,6,404.0833333,,
cell467,1301,3,158,,
cell468,4267,8,350.0833333,,
cell469,3527,7,18,,
cell470,1350,3,256,,
cell471,3049,6,210,,
cell472,2573,5,406.0833333,,
cell473,2724,5,708,,
cell474,2217,4,842,,
cell475,432,1,716,,
cell476,3157,6,426.0833333,,
cell477,5362,10,244,,
cell478,892,2,488.0833333,,
cell479,795,2,294,,
cell480,97,1,46,,
cell481,5051,9,770,,
cell482,3798,7,560.0833333,,
cell483,2222,4,852,,
cell484,304,1,460.0833333,,
cell485,2818,5,896,,
cell486,1282,3,120.0833333,,
cell487,1592,3,740,,
cell488,2447,5,154,,
cell489,1966,4,340.0833333,,
cell490,1896,4,200,,
cell491,3560,7,84.08333333,,
cell492,5076,9,820,,
cell493,1112,2,928,,
cell494,3563,7,90.08333333,,
cell495,5123,9,914,,
cell496,1808,4,24.08333333,,
cell497,2560,5,380.0833333,,
cell498,1889,4,186,,
cell499,4254,8,324.0833333,,
cell500,4731,9,130.0833333,,
cell501,1959,4,326.0833333,,
cell502,2546,5,352.0833333,,
cell503,649,2,2.083333333,,
cell504,1289,3,134.0833333,,
cell505,915,2,534.0833333,,
cell506,3659,7,282,,
cell507,3320,6,752,,
cell508,3140,6,392.0833333,,
cell509,2508,5,276,,
cell510,4269,8,354.0833333,,
cell511,385,1,622,,
cell512,2192,4,792,,
cell513,1366,3,288,,
cell514,3909,7,782,,
cell515,134,1,120.0833333,,
cell516,3052,6,216,,
cell517,3103,6,318.0833333,,
cell518,696,2,96.08333333,,
cell519,1299,3,154,,
cell520,874,2,452.0833333,,
cell521,1894,4,196,,
cell522,3560,7,84.08333333,,
cell523,1517,3,590.0833333,,
cell524,728,2,160,,
cell525,346,1,544.0833333,,
cell526,792,2,288,,
cell527,1329,3,214,,
cell528,522,1,896,,
cell529,1875,4,158,,
cell530,2625,5,510.0833333,,
cell531,5353,10,226,,
cell532,1075,2,854,,
cell533,4817,9,302,,
cell534,1571,3,698,,
cell535,3041,6,194,,
cell536,5136,9,940,,
cell537,5260,10,40,,
cell538,1483,3,522.0833333,,
cell539,2984,6,80.08333333,,
cell540,3557,7,78.08333333,,
cell541,1506,3,568.0833333,,
cell542,4863,9,394.0833333,,
cell543,2429,5,118.0833333,,
cell544,1923,4,254,,
cell545,5394,10,308.0833333,,
cell546,1833,4,74,,
cell547,4133,8,82.08333333,,
cell548,297,1,446.0833333,,
cell549,5057,9,782,,
cell550,866,2,436.0833333,,
cell551,4961,9,590.0833333,,
cell552,2230,4,868,,
cell553,1235,3,26.08333333,,
cell554,3192,6,496.0833333,,
cell555,5598,10,716,,
cell556,857,2,418.0833333,,
cell557,2217,4,842,,
cell558,4342,8,500.0833333,,
cell559,2637,5,534.0833333,,
cell560,3262,6,636,,
cell561,1611,3,778,,
cell562,3330,6,772,,
cell563,815,2,334.0833333,,
cell564,447,1,746,,
cell565,3594,7,152.0833333,,
cell566,5311,10,142.0833333,,
cell567,124,1,100.0833333,,
cell568,1296,3,148.0833333,,
cell569,732,2,168,,
cell570,3042,6,196,,
cell571,4758,9,184,,
cell572,886,2,476.0833333,,
cell573,1971,4,350.0833333,,
cell574,5035,9,738,,
cell575,2096,4,600.0833333,,
cell576,2426,5,112.0833333,,
cell577,549,1,950,,
cell578,3439,6,990,,
cell579,4953,9,574.0833333,,
cell580,1797,4,2.083333333,,
cell581,2807,5,874,,
